MCST No:,UEN:,Date of MC Constitution:,Development Name:,Status:,Development Location:,MC Address:,MC Contact No.:,Name of Managing Agent:,Managing Agent Contact No.:
0001,S68MC0001B,23/10/1968,BENG TONG MANSION,Active,247 TANJONG KATONG ROAD SINGAPORE 437035,"16 KING GEORGES AVENUE
BENG TONG MANSION
 SINGAPORE 208558",,,
0002,S68MC0002J,23/10/1968,BENG TONG MANSION,Active,249 TANJONG KATONG ROAD SINGAPORE 437037,"203 HOUGANG STREET 21
#1-71 
 SINGAPORE 530203",62888059,,
0003,S68MC0003E,23/10/1968,BENG TONG MANSION,Active,251A TANJONG KATONG ROAD SINGAPORE 437039,"TANJONG KATONG ROAD

 SINGAPORE 437039",63453007,MCST,
0004,S68MC0004A,23/10/1968,BENG TONG MANSION,Active,243B TANJONG KATONG ROAD SINGAPORE 428987,"23 MOUNT SINAI DRIVE

 SINGAPORE 277083",62654277,MCST,
0005,S68MC0005H,26/10/1968,BENG TONG MANSION,Active,253B TANJONG KATONG ROAD SINGAPORE 437041,"TANJONG KATONG ROAD

 SINGAPORE 437041",,MCST,
0006,S68MC0006D,26/10/1968,BENG TONG MANSION,Active,245B TANJONG KATONG ROAD SINGAPORE 437033,"245 TANJONG KATONG ROAD

 SINGAPORE 437033",,,
0007,S68MC0007L,29/10/1968,BENG TONG MANSION,Active,241B TANJONG KATONG ROAD SINGAPORE 437028,"- TANJONG KATONG ROAD

 SINGAPORE 437029",63464776,MCST,
0008,S68MC0008G,29/10/1968,BENG TONG MANSION,Active,255B TANJONG KATONG ROAD SINGAPORE 437043,"255 TANJONG KATONG ROAD
BEN TONG MANSION
 SINGAPORE 437043",63456920,MCST,
0009,S68MC0009C,29/10/1968,BENG TONG MANSION,Active,257B TANJONG KATONG ROAD SINGAPORE 437045,"257 TANJONG KATONG ROAD

 SINGAPORE 437045",63457048,MCST,
0010,S68MC0010L,29/10/1968,BENG TONG MANSION,Active,259B TANJONG KATONG ROAD SINGAPORE 437047,"259 TANJONG KATONG ROAD
BENGTONG MANSIONS
 SINGAPORE 437047",63456165,MCST,
0011,S69MC0011A,13/05/1969,BINJAI PARK,Active,31/A/B BINJAI PARK SINGAPORE 589831,"31B BINJAI PARK

 SINGAPORE 589832",97605320,,
0012,S69MC0012H,13/05/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0012,Active,27B BINJAI PARK SINGAPORE 589829,"27B BINJAI PARK
#27-B BINJAI PARK
 SINGAPORE 589830",64654690,,
0013,S69MC0013D,13/05/1969,BINJAI PARK,Active,23B BINJAI PARK SINGAPORE 589827,"23A BINJAI PARK

 SINGAPORE 589828",90017128,,
0014,S69MC0014L,13/05/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0014,Active,17 BINJAI PARK SINGAPORE 589825,"19 BINJAI PARK

 SINGAPORE 589826",96729324,,
0015,S69MC0015G,13/05/1969,MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0015,Active,15B BINJAI PARK SINGAPORE 589964,"8 JELEBU ROAD
#06-01 
 SINGAPORE 677671",98364731,MCST,
0016,S69MC0016C,13/05/1969,MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0016,Active,9 BINJAI PARK SINGAPORE 589822,"BINJAI PARK

 SINGAPORE 589822",64665359,NIL,
0017,S69MC0017K,13/05/1969,BINJAI PARK,Active,3/A/B BINJAI PARK SINGAPORE 589819,"1014 GEYLANG EAST AVENUE 3
#07-216 
 SINGAPORE 389729",68440801,Halley Service Pte Ltd,68440801
0018,S69MC0018F,13/05/1969,MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0018,Active,7/A/B BINJAI PARK SINGAPORE 589821,"1014 GEYLANG EAST AVENUE 3
#07-216 
 SINGAPORE 389729",68440801,Halley Service Pte Ltd,68440801
0019,S69MC0019B,13/05/1969,VALLEY MANSIONS,Active,58A OXLEY ROAD SINGAPORE 238637,"50-68 OXLEY ROAD
VALLEY MANSION
 SINGAPORE 238653",62218288,SRE Global Pte Ltd,62218288
0020,S69MC0020K,09/06/1969,MANDALAY COURT,Terminated,31/A-G MANDALAY ROAD SINGAPORE 308212,"31 MANDALAY ROAD

 SINGAPORE",,HALLEY SERVICES PTE LTD,68440801
0021,S69MC0021F,24/07/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0021,Active,8C LEWIS ROAD SINGAPORE 258591,"8 LEWIS ROAD

 SINGAPORE 258593",62352372,,
0022,S69MC0022B,21/08/1969,,Terminated,,"71 LORONG 23 GEYLANG
#06-01 THK BUILDING
 SINGAPORE 388386",67412422,BRONSAN INTERS-FURNI CONTRACTS & SERVICES,92205693
0023,S69MC0023J,05/09/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0023,Active,136C TANJONG KATONG ROAD SINGAPORE 436976,"50 CHIN SWEE ROAD
#09-02 THONG CHAI BUILDING
 SINGAPORE 169874",67322220,Sierra Asset Management Pte Ltd,67322220
0024,S69MC0024E,26/09/1969,SPRING COURT / SPRING MANSION,Terminated,3/A/B/C/D JALAN DUSUN SINGAPORE 329367,"574 BALESTIER ROAD
SPRING COURT / SPRING MANSION
 SINGAPORE 329889",90220505,,
0025,S69MC0025A,15/10/1969,GOLDHILL TOWERS,Active,38 GOLDHILL AVENUE SINGAPORE 309021,"38-44 GOLDHILL AVENUE
GOLDHILL TOWERS
 SINGAPORE 309021",98781206,Exceltec Property Management Pte Ltd,98781206
0026,S69MC0026H,18/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0026,Active,30B FLANDERS SQUARE SINGAPORE 209310,"30 FLANDERS SQUARE

 SINGAPORE 209310",62981936,NIL,
0027,S69MC0027D,18/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0027,Active,28/A/B FLANDERS SQUARE SINGAPORE 209309,"288 TAMPINES STREET 22
#2-346 
 SINGAPORE 520288",67812736,NIL,
0028,S69MC0028L,18/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0028,Active,26 FLANDERS SQUARE SINGAPORE 209308,"6 TAMAN SIREH

 SINGAPORE 535199",62868382,NIL,
0029,S69MC0029G,18/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0029,Active,24/A/B FLANDERS SQUARE SINGAPORE 209307,"24A FLANDERS SQUARE

 SINGAPORE 209307",62967993,NIL,
0030,S69MC0030D,18/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0030,Active,22/A/B FLANDERS SQUARE SINGAPORE 209306,"30 CASSIA CRESCENT
#08-04 
 SINGAPORE 391030",63485324,NIL,
0031,S69MC0031L,18/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0031,Active,20B FLANDERS SQUARE SINGAPORE 208305,"40L HERTFORD ROAD

 SINGAPORE 219392",,NIL,
0032,S69MC0032G,18/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0032,Active,18 FLANDERS SQUARE SINGAPORE 209304,"18 FLANDERS SQUARE

 SINGAPORE 209304",67486287,NIL,
0033,S69MC0033C,19/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0033,Active,16B FLANDERS SQUARE SINGAPORE 209303,"22 BOON KENG ROAD
#10-07 
 SINGAPORE 330022",62969476,NIL,
0034,S69MC0034K,19/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0034,Active,14/A/B FLANDERS SQUARE SINGAPORE 209301,"14 FLANDERS SQUARE

 SINGAPORE 209301",62924369,NIL,
0035,S69MC0035F,19/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0035,Active,12/A/B FLANDERS SQUARE SINGAPORE 209300,"12 FLANDERS SQUARE

 SINGAPORE 209300",,,
0036,S69MC0036B,19/11/1969,FLANDERS SQUARE,Active,10 FLANDERS SQUARE SINGAPORE 209299,"126C KIM TIAN ROAD
#07-513 
 SINGAPORE 163126",90291308,,
0037,S69MC0037J,19/11/1969,,Active,8B FLANDERS SQUARE SINGAPORE 209298,"142 BEDOK RESERVOIR ROAD
#08-1541 
 SINGAPORE 470142",,MCST,
0038,S69MC0038E,19/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0038,Active,6/A/B FLANDERS SQUARE SINGAPORE 209297,"LORONG 23 GEYLANG
TACPLAS HOUSE
 SINGAPORE 388362",67422250,NIL,
0039,S69MC0039A,19/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0039,Active,4 FLANDERS SQUARE SINGAPORE 209296,"4 FLANDERS SQUARE

 SINGAPORE 209296",,NIL,
0040,S69MC0040J,19/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0040,Active,2/A/B FLANDERS SQUARE SINGAPORE 209295,"2 FLANDERS SQUARE

 SINGAPORE 209295",,NIL,
0041,S69MC0041E,22/11/1969,PEONY MANSION,Terminated,46 BENCOOLEN STREET SINGAPORE 189624,"20 MAXWELL ROAD
#12-01A MAXWELL HOUSE
 SINGAPORE 069113",65354600,SCMS PROPERTY MANAGEMENT PTE LTD,65354600
0042,S69MC0042A,29/11/1969,THE SINGAPORE-JOHORE EXPRESSN LTD,Active,4 WHAMPOA DRIVE SINGAPORE 327715,"4B WHAMPOA DRIVE

 SINGAPORE 327715",,NIL,
0043,S69MC0043H,29/11/1969,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0043,Active,10 WHAMPOA DRIVE SINGAPORE 327720,"17 JOO CHIAT LANE
#01-07 THE LEGEND AT JOO CHIAT
 SINGAPORE 428096",92788338,NIL,
0044,S69MC0044D,22/12/1969,,Terminated,4 ROBIN ROAD SINGAPORE 258177,"96 ROBINSON ROAD
#10-01 
 SINGAPORE 068899",65366696,PACIFIC PROPERTY MANAGEMENT PTE LTD,68411535
0045,S70MC0045B,30/01/1970,35/36 SEAH STREET,Active,36/A/B SEAH STREET SINGAPORE 188392,"35/36 SEAH STREET

 SINGAPORE 188392",62982100,Parkland Property Services Pte Ltd,62982100
0046,S70MC0046J,17/02/1970,NEWTON COURT,Terminated,118C NEWTON ROAD SINGAPORE 307973,"SIMS AVENUE

 SINGAPORE",68421731,LANDSFIELD PROPERTY CONSULTANTS PTE LTD,68421731
0047,S70MC0047E,06/03/1970,HOOVER FLATS,Terminated,11/A/B/C/D JALAN RAMA RAMA SINGAPORE 329095,"JALAN KILANG BARAT

 SINGAPORE",,NIL,
0048,S70MC0048A,23/03/1970,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0048,Active,38C CHANGI ROAD SINGAPORE 419701,"56A LORONG 32 GEYLANG

 SINGAPORE 398316",96303848,NIL,
0049,S70MC0049H,31/03/1970,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0049,Active,3E LORONG 12 GEYLANG SINGAPORE 398984,"12 LORONG 12 GEYLANG

 SINGAPORE 398984",67483878,NIL,
0050,S70MC0050E,31/03/1970,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0050,Active,3H LORONG 12 GEYLANG SINGAPORE 398984,"LORONG 12 GEYLANG

 SINGAPORE 398984",62800306,NIL,
0051,S70MC0051A,01/04/1970,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0051,Active,30B SEAH STREET SINGAPORE 188383,"27 SEAH STREET
#05-01 
 SINGAPORE 188383",63384968,,
0052,S70MC0052H,23/04/1970,(Terminated),Terminated,,,,NIL,
0053,S70MC0053D,04/05/1970,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0053,Active,69B LORONG 16 GEYLANG SINGAPORE 398888,"32 LORONG 8 GEYLANG
DARLENE HOTEL
 SINGAPORE 399096",90183521,,
0054,S70MC0054L,25/05/1970,SERANGOON MANSION,Terminated,26C RACE COURSE LANE SINGAPORE 218743,"2 BALESTIER ROAD
#03-669 
 SINGAPORE 320002",90015253,,
0055,S70MC0055G,13/06/1970,(Terminated),Terminated,,,,NIL,
0056,S70MC0056C,26/06/1970,NA,Active,11A/B SING AVENUE SINGAPORE 217865,"21A SING AVENUE

 SINGAPORE 217869",62987519,,
0057,S70MC0057K,30/06/1970,ENG AUN MANSION,Active,322/A/B/C THOMSON ROAD SINGAPORE 307658,"304-322 THOMSON ROAD
ENG AUN MANSION
 SINGAPORE 307654",82225353,ACE DECISION FACILITIES MANAGEMENT PTE LTD,82225353
0058,S70MC0058F,15/07/1970,,Terminated,,,,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
0059,S70MC0059B,17/07/1970,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0059,Active,74 LORONG 25A GEYLANG SINGAPORE 388257,"LORONG 25A GEYLANG

 SINGAPORE 388257",67484575,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
0060,S70MC0060K,17/07/1970,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0060,Active,76 LORONG 25A GEYLANG SINGAPORE 388258,"76 LORONG 25A GEYLANG

 SINGAPORE 388258",68379068,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
0061,S70MC0061F,17/07/1970,78 LORONG 25A GEYLANG,Active,78 LORONG 25A GEYLANG SINGAPORE 388259,"110 JALAN JURONG KECHIL
#02-01 SWEEBI HOUSE
 SINGAPORE 598606",64681949,,
0062,S70MC0062B,17/07/1970,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0062,Active,80 LORONG 25A GEYLANG SINGAPORE 388260,"80 LORONG 25A GEYLANG

 SINGAPORE 388260",,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
0063,S70MC0063J,12/09/1970,DRAGON MANSION,Terminated,14 SPOTTISWOODE PARK ROAD SINGAPORE 088641,"2 KALLANG AVENUE
#09-28 CT HUB
 SINGAPORE 339407",67356255,AV CONSULTANTS PTE LTD,67356255
0064,S70MC0064E,14/09/1970,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0064,Active,39B TRURO ROAD SINGAPORE 217579,"37/39 TRURO ROAD

 SINGAPORE 217577",91804288,,
0065,S70MC0065A,21/09/1970,MOULMEIN RISE,Terminated,,,,NIL,
0066,S70MC0066H,02/10/1970,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0066,Active,163 MACPHERSON ROAD SINGAPORE 348532,"UPPER CROSS STREET
#11-14 
 SINGAPORE 58358",65364336,NIL,
0067,S70MC0067D,02/10/1970,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0067,Active,71 JALAN WANGI SINGAPORE 349385,"71 JALAN WANGI

 SINGAPORE 349385",62812355,NIL,
0068,S70MC0068L,02/10/1970,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0068,Active,73B JALAN WANGI SINGAPORE 349386,"73 JALAN WANGI

 SINGAPORE 349386",62887168,,
0069,S70MC0069G,02/10/1970,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0069,Active,77 JALAN WANGI SINGAPORE 349388,"77 JALAN WANGI

 SINGAPORE 349388",,MCST,
0070,S70MC0070D,24/10/1970,UNITED MANSION,Active,596C EAST COAST ROAD SINGAPORE 458998,"540 SIMS AVENUE
#03-06 SIMS AVENUE CENTRE
 SINGAPORE 387603",68421731,Landsfield Property Management Pte Ltd,68421731
0071,S70MC0071L,23/11/1970,,Terminated,56/A/B/C MARTABAN ROAD SINGAPORE 328666,"YUK TONG AVENUE

 SINGAPORE 596306",64661342,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342
0072,S70MC0072G,17/11/1970,DRAGON VIEW PK (Terminated),Terminated,,,,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342
0073,S70MC0073C,17/11/1970,Management Corporation Strata Title No. 0073,Active,2 GRAY LANE SINGAPORE 438938,"2B GRAY LANE
GRAY LANE MANAGEMENT CORPORATION
 SINGAPORE 438934",96906197,,
0074,S70MC0074K,19/11/1970,HONG THYE HOUSE,Terminated,7E LORONG 39 GEYLANG SINGAPORE 387867,"701 GEYLANG ROAD
#02-04 TEAMBUILD CENTRE
 SINGAPORE 389687",,PROMPTSERVE PTY MGT PTE LTD,91776959
0075,S70MC0075F,21/12/1970,BOTANIC GARDENS MANSION,Active,10 TAMAN SERASI SINGAPORE 257721,"2, 10, 18 TAMAN SERASI
BOTANIC GARDENS MANSION
 SINGAPORE 257718",64732588,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64732588
0076,S71MC0076G,29/01/1971,MARTABAN COURT,Terminated,26/A/B/C MARTABAN ROAD SINGAPORE 328644,"TECH PARK CRESCENT

 SINGAPORE",,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
0077,S71MC0077C,05/02/1971,ST. MARTIN'S PL (Terminated),Terminated,,,,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
0078,S71MC0078K,15/02/1971,FORD MANSION (strata scheme terminated),Terminated,7D FORD AVENUE SINGAPORE 268685,"5 TEMASEK BOULEVARD
#7-2 SUNTEC TOWER FIVE
 SINGAPORE 38985",62218288,CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD,62218288
0079,S71MC0079F,16/02/1971,HOLLAND TOWER,Active,10A HOLLAND HEIGHTS SINGAPORE 249510,"10 HOLLAND HEIGHTS
HOLLAND TOWER
 SINGAPORE 249510",62218288,SRE Global Pte Ltd,62218288
0080,S71MC0080C,20/02/1971,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0080,Active,343 TELOK KURAU ROAD SINGAPORE 423870,"343 TELOK KURAU ROAD

 SINGAPORE 423870",98553000,,
0081,S71MC0081K,27/02/1971,PEAKVILLE MANSION,Active,18B JALAN PARI KIKIS SINGAPORE 488551,"701 GEYLANG ROAD
#03-04 TEAMBUILD CENTRE
 SINGAPORE 389687",64664703,Barringham International Property Management Pte Ltd,64664703
0082,S71MC0082F,26/03/1971,27 BALMORAL PARK,Active,27 BALMORAL PARK SINGAPORE 259855,"21 BUKIT BATOK CRESCENT
#26-83 WCEGA TOWER
 SINGAPORE 658065",64111670,Chambers Property Management Services Pte Ltd,64111670
0083,S71MC0083B,26/03/1971,31 BALMORAL PARK,Active,33L BALMORAL PARK SINGAPORE 259858,"31 BALMORAL PARK
#01-31 31 BALMORAL PARK
 SINGAPORE 259858",64685100,Chambers Property Management Services Pte Ltd,64111670
0084,S71MC0084J,30/03/1971,THE MANAGEMENT CORPORATION STRATA TITLE PLAN NO 0084,Active,6 GREENWOOD AVENUE SINGAPORE 289204,"420 NORTH BRIDGE ROAD
#06-01 NORTH BRIDGE CENTRE
 SINGAPORE 188727",63370087,Earnest Management Services Pte Ltd,63370087
0085,S71MC0085E,19/04/1971,98-98E UPPER EAST COAST,Active,98E UPPER EAST COAST ROAD SINGAPORE 455237,"98A UPPER EAST COAST ROAD
98-98E UPPER EAST COAST ROAD (455237)
 SINGAPORE 455237",97873645,,
0086,S71MC0086A,11/05/1971,GOLDHILL MANSION (Terminated),Terminated,9 JERVOIS ROAD SINGAPORE 249104,"JERVOIS CLOSE

 SINGAPORE",,ASCENT PROPERTY MANAGEMENT SERVICES PTE LTD,64497141
0087,S71MC0087H,27/05/1971,QUE LIN GARDEN (Terminated),Terminated,35F ST. THOMAS WALK SINGAPORE 238123,"ST. THOMAS WALK
QUE LIN GARDEN
 SINGAPORE 238123",96737817,GARDENEA MANAGEMENT SERVICES,96737817
0088,S71MC0088D,01/06/1971,RAINBOW MANSION,Active,4B ONE TREE HILL SINGAPORE 249601,"101 CECIL STREET
#24-07 TONG ENG BUILDING
 SINGAPORE 069533",63362453,,
0089,S71MC0089L,02/07/1971,,Terminated,,,,PIONEER ENTERPRISE PTE LTD,63362453
0090,S71MC0090H,21/07/1971,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0090,Active,9A LORONG 17 GEYLANG SINGAPORE 388542,"11A LORONG 17 GEYLANG
11A
 SINGAPORE 388542",67443388,,
0091,S71MC0091D,06/08/1971,CARPMAEL LODGE,Active,6F CARPMAEL ROAD SINGAPORE 429754,"6F CARPMAEL ROAD
CARPMAEL LODGE
 SINGAPORE 429754",+6593211968,,
0092,S71MC0092L,07/08/1971,GOLDHILL CENTRE,Active,169/A/B THOMSON ROAD SINGAPORE 307632,"540 SIMS AVENUE
#03-06 SIMS AVENUE CENTRE
 SINGAPORE 387603",68421731,LANDSFIELD PROPERTY CONSULTANTS PTE LTD,68421731
0093,S71MC0093G,06/08/1971,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0093,Active,27A LORONG 15 GEYLANG SINGAPORE 388612,"27 LORONG 15 GEYLANG

 SINGAPORE 388614",63389883,Dawson Property Management Pte Ltd,63389883
0094,S71MC0094C,22/09/1971,,Terminated,8B LORONG 7 GEYLANG SINGAPORE 388792,"8B LORONG 7 GEYLANG

 SINGAPORE 388792",,,
0095,S71MC0095K,25/09/1971,,Terminated,,,,MCST,
0096,S71MC0096F,25/09/1971,,Terminated,,,,MCST,
0097,S71MC0097B,25/09/1971,,Terminated,,,,MCST,
0098,S71MC0098J,25/09/1971,,Terminated,,,,MCST,
0099,S71MC0099E,25/09/1971,,Terminated,,"STRATA TITLES SCHEME TERMINATED
 SINGAPORE",,MCST,
0100,S71MC0100J,20/10/1971,ST THOMAS APT. (Terminated),Terminated,,,,MCST,
0101,S71MC0101E,27/10/1971,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0101,Active,188-1B TANJONG KATONG ROAD SINGAPORE 436990,"TANJONG KATONG ROAD

 SINGAPORE 436990",64740828,MCST,
0102,S71MC0102A,27/10/1971,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0102,Active,188-2B TANJONG KATONG ROAD SINGAPORE 436990,"TANJONG KATONG ROAD

 SINGAPORE 436990",,MCST,
0103,S71MC0103H,27/10/1971,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0103,Active,188-3B TANJONG KATONG ROAD SINGAPORE 436990,"TANJONG KATONG ROAD

 SINGAPORE 436990",64446398,MCST,
0104,S71MC0104D,27/10/1971,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0104,Active,188-4B TANJONG KATONG ROAD SINGAPORE 436990,"TANJONG KATONG ROAD

 SINGAPORE 436990",64404538,N,
0105,S71MC0105L,27/10/1971,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0105,Active,188-5B TANJONG KATONG ROAD SINGAPORE 436990,"TANJONG KATONG ROAD

 SINGAPORE 436990",,N,
0106,S71MC0106G,27/10/1971,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0106,Active,188-6B TANJONG KATONG ROAD SINGAPORE 436990,"TANJONG KATONG ROAD

 SINGAPORE 436990",64488996,N,
0107,S71MC0107C,27/10/1971,MANAGEMENT CORPN STRATA TITLE PLAN NO. 107,Active,188-7B TANJONG KATONG ROAD SINGAPORE 593001,"TANJONG KATONG ROAD
#13-15 
 SINGAPORE 593001",64668110,N,
0108,S71MC0108K,27/10/1971,MANAGMENT CORPORATION STRATA TITLE PLAN NO. 0108,Active,188-8B TANJONG KATONG ROAD SINGAPORE 436990,"1 PALM AVENUE

 SINGAPORE 456520",64465728,N,
0109,S71MC0109F,27/10/1971,MANAGEMENT CORPN STRATA TITLE PLAN NO. 109,Active,188-9B TANJONG KATONG ROAD SINGAPORE 436990,"188-9B TANJONG KATONG ROAD

 SINGAPORE 436990",,N,
0110,S71MC0110C,27/10/1971,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0110,Active,188-10B TANJONG KATONG ROAD SINGAPORE 436990,"363 JOO CHIAT ROAD

 SINGAPORE 427608",63458080,N,
0111,S71MC0111K,02/11/1971,NORTHERN MANSION,Terminated,99J MERGUI ROAD SINGAPORE 219065,"97 MERGUI ROAD
NORTHERN MANASION
 SINGAPORE 219065",66653880,PROPMAG MANAGEMENT SERVICES PTE LTD,66653880
0112,S71MC0112F,23/11/1971,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0112,Active,4B ST. GEORGES ROAD SINGAPORE 328023,"4 ST. GEORGES ROAD

 SINGAPORE 328024",97532153,,
0113,S71MC0113B,06/12/1971,JERVOIS COURT (Terminated),Terminated,16B JERVOIS CLOSE SINGAPORE 249108,"ALEXANDRA ROAD

 SINGAPORE",,ASCENT PROPERTY MANAGEMENT SERVICES PTE LTD,64497141
0114,S71MC0114J,18/12/1971,enbloc,Terminated,222/A-C BALESTIER ROAD SINGAPORE 328686,"80 MARINE PARADE ROAD
#21-01 PARKWAY PARADE
 SINGAPORE 449269",,,
0115,S71MC0115E,21/12/1971,,Terminated,,,,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342
0116,S72MC0116F,28/01/1972,DRAGON MANSION,Terminated,18 SPOTTISWOODE PARK ROAD SINGAPORE 088642,"15 WEST COAST HIGHWAY
#04-01 PASIR PANJANG BUILDING
 SINGAPORE 117861",67792711,Stature Real Estate Enterprises Pte Ltd,67792711
0117,S72MC0117B,01/02/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0117,Active,64 LORONG N TELOK KURAU SINGAPORE 425204,"64 LORONG N TELOK KURAU

 SINGAPORE 425204",64402938,,
0118,S72MC0118J,01/02/1972,NIL,Terminated,537C EAST COAST ROAD SINGAPORE 429068,"531A EAST COAST ROAD

 SINGAPORE 429065",63443988,,
0119,S72MC0119E,05/02/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0119,Active,14 HAIG AVENUE SINGAPORE 438869,"HAIG AVENUE

 SINGAPORE 438869",,MCST,
0120,S72MC0120B,28/02/1972,BEE HWA COURT (Terminated),Terminated,17L OXLEY ROAD SINGAPORE 238618,"SIMS AVENUE

 SINGAPORE",,LANDSFIELD PROPERTY CONSULTANTS PTE LTD (Mr Peh),68421731
0121,S72MC0121J,01/03/1972,BRIGHTS APARTMENT,Terminated,57D IRRAWADDY ROAD SINGAPORE 329551,"51 IRRAWADDY ROAD
BRIGHT APPARTMENT
 SINGAPORE 329551",62551206,LANDSFIELD PROPERTY CONSULTANTS PTE LTD (Mr Peh),68421731
0122,S72MC0122E,21/03/1972,South Union Park,Active,59C JALAN TUA KONG SINGAPORE 457254,"56 LORONG 16 GEYLANG
SOUTH UNION PARK
 SINGAPORE 398885",62747305,Camrie Project and Estate Management,62747305
0123,S72MC0123A,21/03/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0123,Active,79B LORONG 8 GEYLANG SINGAPORE 399142,"81A LORONG 8 GEYLANG

 SINGAPORE 399143",92955193,,
0124,S72MC0124H,27/03/1972,HERTFORD MANSION,Active,18/A/B HERTFORD ROAD SINGAPORE 219847,"21 BRISTOL ROAD
HERTFORD MANSION
 SINGAPORE 219847",65549591,AMPM Property Consultants Pte Ltd,65549591
0125,S72MC0125D,01/01/1976,,Terminated,458/A/B/C BALESTIER ROAD SINGAPORE 329834,"454 - 458 BALESTIER ROAD

 SINGAPORE 329880",63361214,LOO & LEE SECRETARIAL & MANAGEMENT PTE LTD,63372410
0126,S72MC0126L,30/03/1972,REALTY PARK,Active,48/A LORONG 1 REALTY PARK SINGAPORE 536957,"6001 BEACH ROAD
#13-07 BEACH ROAD
 SINGAPORE 199589",62981416,LE Property Consultancy Pte Ltd,62981416
0127,S72MC0127G,30/03/1972,MANAGEMENT CORPN STRATA TITLE PLAN NO. 0127,Active,33 LORONG 17 GEYLANG SINGAPORE 388557,"33B LORONG 17 GEYLANG

 SINGAPORE 388557",62878532,,
0128,S72MC0128C,05/04/1972,BAN GUAN PARK,Terminated,,"68 GREENLEAF ROAD
BAN GUAN PARK
 SINGAPORE 279355",67788595,NIL,
0129,S72MC0129K,15/04/1972,,Terminated,,,,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342
